,Fator_1,Fator_2
121,13.675721,3.0306928
122,14.437215,8.256178
123,7.8794107,15.693664
124,8.849569,17.733591
125,4.5839076,-3.0306191
126,8.323279,13.937415
127,10.716647,3.8113596
128,11.798609,3.3351316
129,14.0572815,5.985677
130,8.852669,16.76712
131,7.11591,15.907521
132,4.0731688,-3.8232486
133,13.534373,7.4933095
134,11.837808,3.6500542
135,-3.304782,8.284024
136,-0.8328485,4.331707
137,1.4699352,2.911884
138,-4.035438,10.170731
139,3.4272115,-1.4818169
140,-0.30488467,5.101796
141,9.418124,14.922797
142,14.187734,7.6487665
143,13.578001,8.004208
144,10.655031,13.683189
145,-2.252347,12.50713
146,8.28965,16.679514
147,-1.3528574,12.390713
148,8.555175,17.403349
149,4.9878902,-3.4666357
150,13.370048,8.169219
151,-4.106725,9.072919
152,8.683169,16.02411
153,7.6700225,16.770243
154,11.707576,7.2483573
155,14.553767,4.0654426
156,15.065009,5.883029
157,11.257648,13.519165
158,11.935436,5.67134
159,13.715076,5.646437
160,15.405458,7.796079
161,14.2449255,4.742134
162,5.170803,-3.416601
163,7.474905,15.415183
164,8.342923,17.773823
165,8.521619,17.549685
166,14.788992,6.84679
167,14.688565,6.488267
168,-1.0290477,11.162193
169,16.06221,6.4457474
170,9.146252,15.409822
171,13.953303,5.712975
172,9.08709,17.975945
173,-0.95553046,12.285552
174,8.478635,15.328708
175,11.323835,3.1000772
176,13.616349,5.2468934
177,14.345798,3.8849366
178,15.086163,8.439272
179,13.700407,4.961849
180,-0.85053694,12.153956
181,11.722518,6.430912
182,9.769626,14.464961
183,-1.6180445,11.348959
184,-0.66247666,13.402198
185,-1.8649021,13.453251
186,-1.8584297,11.024894
187,5.999601,-4.3011503
188,10.825116,3.9714842
189,12.995847,5.1715856
190,9.616152,17.013138
191,8.052836,18.14947
192,11.707804,15.34811
193,12.3712225,5.769491
194,3.5908303,4.9299855
195,4.8107233,-4.0457563
196,4.0644345,5.036462
197,8.844845,14.893912
198,13.960256,5.5388255
199,11.28937,6.5636363
200,-3.6195347,8.885813
201,4.9589424,3.8686588
202,-3.50945,8.255869
203,12.908138,2.7776647
204,-0.14883389,12.042368
205,10.489684,15.555638
206,9.331754,14.642129
207,14.417758,4.6479535
208,10.527996,2.5023656
209,11.851952,14.64653
210,13.899952,7.959762
211,-4.856267,9.389862
212,-1.3988785,12.083264
213,9.533348,13.970505
214,9.804046,14.749472
215,7.345101,16.159641
216,14.815004,6.038882
217,3.4142058,-2.1061609
218,3.8117342,-2.5965211
219,-3.2865105,8.272955
220,12.624867,5.8576107
221,4.3979254,-3.993127
222,13.366496,4.483298
223,3.9131882,-2.0612795
224,14.3913765,8.878595
225,10.583659,2.4597623
226,4.1126647,-2.5425186
227,11.489375,7.184305
228,12.939792,7.7076654
229,12.135734,5.0602016
230,8.9845705,15.204927
231,-1.2723484,5.04129
232,-2.959099,8.83681
233,9.797568,15.173897
234,14.888961,8.489757
235,9.165297,14.543799
236,-3.3704195,8.266236
237,8.6392975,17.618471
238,8.768069,16.914318
239,13.664359,4.3039236
240,-0.9991357,10.859662
241,-4.0764775,9.41802
242,15.058101,6.0000176
243,12.612584,5.5680776
244,-3.057798,9.419968
245,14.065588,5.882249
246,7.906671,15.540631
247,15.13393,7.0197144
248,5.3942704,-3.7692246
249,5.5521317,-3.7967389
250,8.685758,15.945935
251,15.369458,4.6728253
252,11.795291,3.1997418
253,5.0661855,-4.4307156
254,13.224935,3.5124667
255,12.829761,6.1299577
256,9.611584,15.228618
257,14.110513,6.68613
258,-0.9222108,4.2399774
259,8.802776,17.782543
260,10.393461,14.342032
261,13.616681,6.3552217
262,5.36637,-4.7605834
263,14.479901,5.14195
264,11.487645,7.165965
265,11.117665,13.383116
266,-0.013483052,12.943115
267,-1.7034408,11.193872
268,8.748858,17.144276
269,10.787433,2.605774
270,15.432631,5.1458106
271,10.509275,16.63409
272,13.66522,5.2458515
273,-1.2387667,4.4226637
274,9.223791,14.545581
275,9.786151,15.25931
276,-4.5333147,9.872238
277,13.190484,6.469218
278,14.428297,6.0965347
279,13.67263,4.803538
280,8.85748,15.821646
281,13.850271,5.244532
282,4.6740704,4.367804
283,13.536908,5.1218014
284,10.541651,3.0460353
285,4.7615337,-4.443414
286,11.420028,2.8642795
287,5.030696,4.215929
288,15.414719,5.4037204
289,5.539357,-4.112222
290,14.606211,5.418489
291,5.8345475,-3.9945285
292,13.931749,8.189563
293,11.297874,13.595672
294,5.3535633,-4.26653
295,12.97666,7.553398
296,-2.2824364,12.990353
297,-0.16521162,4.711705
298,-0.9673722,5.3459477
299,13.963259,5.6218376
300,14.926967,3.43663
301,-3.6681063,8.768111
302,11.575678,6.6630397
303,11.166613,4.628249
304,11.2196,2.494928
305,4.8827095,3.632196
306,4.929933,3.6105115
307,-1.6354932,11.392706
308,5.680221,-3.695382
309,5.892065,-3.9187572
310,1.464286,2.508524
311,8.685416,13.751664
312,10.179905,15.548388
313,9.2305,15.659021
314,9.169531,15.178539
315,11.574059,3.4524436
316,-0.5525409,4.3436174
317,4.9779735,-4.87658
318,11.388266,13.693781
319,-1.1034311,12.15961
320,11.284983,6.6572723
321,14.139972,8.028604
322,13.506707,6.77227
323,7.9878054,15.914118
324,15.741233,6.857667
325,14.702352,6.767326
326,8.670411,15.122742
327,12.278577,14.944833
328,4.1086054,-2.5822575
329,7.3468533,16.771004
330,10.077569,16.66301
331,11.405826,6.8137317
332,8.201657,15.771867
333,-3.5290844,8.303305
334,4.8510814,-4.7447305
335,14.462119,5.3862066
336,9.184601,15.765872
337,9.900308,17.164152
338,13.132533,2.7719138
339,12.07522,14.68865
340,-1.3032318,11.058962
341,7.88212,17.77089
342,14.500834,6.149333
343,15.15212,7.7978716
344,15.705272,6.7216873
345,10.040341,17.02879
346,9.098072,15.276215
347,-4.7107863,10.081729
348,9.285732,17.186659
349,13.234735,4.8127155
350,8.198301,16.512405
351,3.6689816,-1.1613082
352,-1.4025189,11.1164465
353,10.704014,14.253515
354,10.045942,14.275312
355,10.963846,2.312141
356,-2.2723782,13.430313
357,-0.40430853,5.081901
358,11.605274,3.3550873
359,11.269981,6.2768373
360,8.774633,17.608742
361,4.0651402,4.426224
362,8.742904,18.233564
363,-0.24598421,12.034052
364,11.807904,6.2026515
365,8.485523,16.636482
366,5.8865447,-3.8716395
367,9.05312,16.31432
368,7.1052947,15.4262905
369,-0.7759931,12.4680605
370,11.924554,4.6202383
371,16.060644,6.84965
372,-0.40734023,4.893347
373,-1.6110649,11.044548
374,10.326993,15.528252
375,9.9917755,15.380381
376,11.219796,2.359201
377,-1.2439183,11.042311
378,8.315123,14.078618
379,13.32059,7.3952656
380,11.588194,2.6124313
381,7.9942193,15.137839
382,8.400166,15.354706
383,13.435263,7.5619717
384,12.802574,3.298912
385,8.6227665,13.747987
386,-2.3036964,13.25429
387,14.302935,7.9950395
388,11.32812,3.957005
389,-1.0205978,11.18293
390,-1.135181,12.430199
391,13.924452,6.215167
392,-1.6754594,11.357548
393,5.063018,-3.7392683
394,14.376902,8.491003
395,14.107954,5.72531
396,12.57967,3.8666441
397,10.364403,13.508945
398,8.422904,17.374949
399,5.7059875,-3.6867654
400,4.1670566,-4.0062294
401,4.3715653,-0.9729579
402,3.6808891,-1.1911823
403,8.859516,17.794735
404,14.811009,4.418403
405,-2.3661025,9.450986
406,14.623427,3.9636283
407,9.682942,17.396202
408,8.726096,16.702291
409,12.08629,14.646532
410,13.804537,4.962555
411,9.784006,16.52561
412,10.918433,13.380087
413,12.286661,2.7382128
414,11.627066,6.7357006
415,-3.0486267,9.020534
416,-2.78224,8.808175
417,5.6648984,-3.750155
418,15.161193,5.350602
419,13.090239,5.989608
420,11.125912,6.347113
421,1.9525367,2.6064634
422,7.9709005,15.728939
423,-0.25380218,4.7400255
424,15.226729,5.185896
425,8.025183,14.324729
426,11.024804,14.132873
427,4.7093434,4.171535
428,7.5394516,16.510199
429,-0.3772505,4.8023195
430,13.147246,7.812976
431,8.829238,14.647019
432,5.8358107,-4.1802325
433,11.0490055,14.719058
434,15.422517,7.176902
435,7.8976994,15.805463
436,3.3391407,-1.8116007
437,11.446597,4.1426578
438,7.3732557,16.27486
439,15.512434,6.998928
440,14.476421,5.103759
441,4.393356,-1.3959683
442,14.005623,6.840866
443,9.726272,15.035868
444,11.333449,3.6945488
445,1.9168102,2.6110144
446,11.327736,13.813161
447,-1.4088982,4.6184435
448,13.410683,4.507059
449,8.900035,15.888018
450,4.3322754,4.0180264
451,9.661236,15.7037945
452,9.329093,15.8679495
453,10.583053,14.560642
454,7.8945622,15.239976
455,-4.463568,9.673695
456,10.871673,2.5907238
457,-0.755931,12.35008
458,-1.7064874,11.472321
459,7.985916,15.22295
460,-3.1753273,9.639383
461,-4.600379,8.83609
462,8.138253,15.871511
463,10.336746,15.371021
464,14.774417,7.158555
465,13.5060425,3.8507223
466,7.0873837,16.392748
467,4.2138557,-2.3810208
468,15.510226,6.7135906
469,13.051947,6.991582
470,-4.7460012,10.0051365
471,13.785551,7.3923287
472,-0.71809024,4.1400905
473,8.958603,14.502248
474,8.897618,18.337147
475,-0.53489,12.282881
476,8.300277,17.304857
477,7.751664,16.643946
478,15.123091,8.516915
479,14.879994,7.141369
480,7.1705036,15.807107
481,7.7829514,16.240969
482,-0.7209035,11.954127
483,-3.770976,8.900162
484,3.7765436,-1.3498516
485,12.87673,3.8038123
486,5.3575506,-4.3889475
487,8.031482,16.421352
488,8.04873,16.566118
489,8.053888,14.064989
490,-0.43301323,5.4537697
491,4.148172,-1.1293591
492,10.223957,2.8577166
493,9.245576,15.643909
494,8.285898,16.504768
495,-0.6696166,4.1270366
496,3.8189728,-1.394266
497,-0.9411541,13.269794
498,-1.0513967,11.529439
499,14.747585,5.8894954
500,3.6404293,-2.1347315
501,8.948189,18.149153
502,5.280149,-4.1143007
503,12.86374,7.5929627
504,13.489918,8.009824
505,14.849034,6.208887
506,-0.884938,11.036277
507,-4.022898,8.013034
508,12.237911,6.0682435
